date,open,high,low,close,vol,per,pbr
2009-08-05,"341,370","345,966","338,088","343,340","63,987",3455,512
2009-08-06,"346,622","354,500","344,653","351,217","96,570",3534,524
2009-08-07,"349,248","355,156","348,591","353,187","64,830",3554,527
2009-08-10,"351,874","352,530","345,309","347,278","45,538",3494,518
2009-08-11,"345,309","346,622","341,370","342,027","53,043",3441,510
2009-08-12,"343,996","347,278","336,118","337,431","66,738",3395,503
2009-08-13,"338,744","342,683","334,149","334,149","128,931",3362,498
2009-08-14,"339,401","347,935","338,744","345,309","91,620",3474,515
2009-08-17,"347,935","347,935","334,805","336,775","65,901",3389,502
2009-08-18,"334,805","343,340","332,836","333,492","67,341",3356,497
2009-08-19,"334,805","336,775","330,210","330,210","80,991",3323,492
2009-08-20,"334,149","349,248","331,523","347,278","101,782",3494,518
2009-08-21,"343,340","348,591","340,057","344,653","65,956",3468,514
2009-08-24,"345,966","347,278","338,088","343,996","75,339",3461,513
2009-08-25,"341,370","345,966","340,057","340,057","45,271",3422,507
2009-08-26,"340,057","343,340","336,775","338,088","70,992",3402,504
2009-08-27,"339,401","347,278","338,088","345,309","55,166",3474,515
2009-08-28,"347,935","349,248","338,744","342,027","69,390",3441,510
2009-08-31,"341,370","342,027","334,149","340,057","64,577",3422,507
2009-09-01,"340,057","340,057","332,179","336,775","115,155",3389,502
2009-09-02,"336,118","337,431","331,523","336,118","92,374",3382,501
2009-09-03,"334,805","342,027","332,179","341,370","61,695",3435,509
2009-09-04,"347,278","355,813","343,340","353,187","168,938",3554,527
2009-09-07,"352,530","356,469","345,966","346,622","47,221",3488,517
2009-09-08,"346,622","350,561","341,370","343,340","50,274",3455,512
2009-09-09,"342,027","351,217","340,057","349,904","66,519",3521,522
2009-09-10,"352,530","365,660","350,561","360,408","152,203",3626,537
2009-09-11,"361,065","381,416","359,095","376,820","113,508",3792,562
2009-09-14,"372,881","386,011","368,286","374,851","88,645",3772,559
2009-09-15,"378,790","378,790","366,316","373,538","46,674",3759,557
